sku	color	size	brand	image_file_name
1005-PNK/BLK(10OZ)	Rosa	10OZ	TKO	1005-PNK-BLK(10OZ).jpg
1005-PNK/BLK(12OZ)	Rosa	12OZ	TKO	1005-PNK-BLK(12OZ).jpg
1005D-BLUE/BLK(12OZ)	Azul, Negro	12OZ	DURAN	1005D-BLUE-BLK.jpg
1005D-BLUE/BLK(16OZ)	BLUE	BLK(16OZ)	DURAN	1005D-BLUE-BLK.jpg
1005D-PNK/BLK(14OZ)	Rosa, Negro	14OZ	DURAN	1005D-PINK-BLK.jpg
1854D/BLK	Negro		DURAN	1854D-BLK.jpg
1917/L-CANVAS	Negro	120X35CM	TKO	1917-L-CANVAS.jpg
1917/M-CANVAS	Negro	100X35CM	TKO	1917-M-CANVAS.jpg
1917/M-CANVAS PNK	Rosa	100X35CM	TKO	1917-M-CANVAS PINK.jpg
1917/XL-CANVAS	Negro	150X35CM	TKO	1917-XL-CANVAS.jpg
1917D/L-CANVAS	Negro	100X35CM	DURAN	1917D-L-CANVAS.jpg
1917D/M-CANVAS	Negro	100X35CM	DURAN	1917D-M-CANVAS.jpg
1917D/M-CANVAS PNK	Rosa	100X35CM	DURAN	1917D-M-CANVAS PINK.jpg
1917D/XL-CANVAS	Negro	150X35CM	DURAN	1917D-XL-CANVAS.jpg
3007RED(14OZ)			TKO	3007RED(14OZ).jpg
3016D BLUE(10OZ)	Azul	10OZ	DURAN	3016D BLUE.jpg
3016D RED(10OZ)			DURAN	3016D RED.jpg
3022D-BLACK	Negro		DURAN	3022D-BLACK.jpg
3036			TKO	3036.JPG
3045 RED/BLACK			TKO	3045 RED-BLACK.jpg
3064LEATHER			TKO	3064LEATHER.jpg
3066PU	Negro	M	TKO	3066PU.jpg
3122PU BLACK	Negro		TKO	3122PU BLACK.jpg
3122PU BLUE	Azul		TKO	3122PU BLUE.jpg
3122PU RED	Rojo		TKO	3122PU RED.jpg
3125/BLUE	Azul		TKO	3125-BLUE.JPG
3125/RED	Rojo		TKO	3125-RED.jpg
3127BLK(L)			TKO	3127BLK(L).jpg
3145 RED(6OZ)			TKO	3145 RED(6OZ).jpg
3173 CANVAS	Negro	120X35CM	TKO	3173 CANVAS.jpg
3173/L-CANVAS CAMO	Camuflajiado	120X35CM	TKO	3173-L-CANVAS CAMO.jpg
3173D CANVAS	Negro	120X35CM	DURAN	3173D CANVAS.jpg
3173D PVC	Negro	120X35CM	DURAN	3173D PVC.jpg
3173D/L-CANVAS CAMO	Camuflagiado	120X35CM	DURAN	3173D-L-CANVAS CAMO.jpg
3173PVC	Negro	120X35CM	TKO	3173PVC.jpg
3174 CANVAS	Negro	100X35CM	TKO	3174 CANVAS.jpg
3174/M-CANVAS CAMO	Camuflajiado	100X35CM	TKO	3174-M-CANVAS CAMO.jpg
3174D CANVAS	Negro	100X35CM	DURAN	3174D CANVAS.jpg
3174D PVC	Negro	100X35CM	DURAN	3174D PVC.jpg
3174D/M-CANVAS CAMO	Camuflagiado	100X35CM	DURAN	3174D-M-CANVAS CAMO.jpg
3174PVC	Negro	100X35CM	TKO	3174PVC.jpg
3185 CANVAS	Negro	60X30	TKO	3185 CANVAS.jpg
3185D CANVAS	Negro	60X30	DURAN	3185D CANVAS.jpg
3222(5)			TKO	3222(5).jpg
3382 BLK	Negro	4M	TKO	3382 BLK.jpg
3382 NEON/YEL	Neon, Amarillo	4M	TKO	3382 NEON-YEL.jpg
3382 PINK	Rosa	4M	TKO	3382 PINK.jpg
3382D BLK			DURAN	3382D BLK.jpg
3382D PINK	Rosa	4M	DURAN	3382D PINK.jpg
3383	Plastico		TKO	3383.jpg
3383 NEON/GREEN	Neon, Verde		TKO	3383NEON-GREEN.jpg
3383 NEON/ORG	Neon, Naranja		TKO	3383NEON-ORG.jpg
3383 NEON/YEL	Neon, Amarillo		TKO	3383NEON-YEL.jpg
3383D	Plastico		DURAN	3383D.jpg
3383D NEON/ORG	Neon, Naranja		DURAN	3383D NEON-ORG.jpg
3383D NEON/YEL	Neon, Amarillo	120X35CM	DURAN	3383D NEON-YEL.jpg
3385 NEON/GREEN	Neon, Verede		TKO	3385NEON-GREEN.jpg
3385 NEON/ORG	Neon, Naranja		TKO	3385NEON-ORG.jpg
3385 NEON/YEL	Neon, Amarillo		TKO	3385NEON-YEL.jpg
3385/BLK	Negro		TKO	3385-BLK.jpg
4400/BLK	Negro	4M	TKO	4400-BLK.jpg
4400/RED	Rojo	4M	TKO	4400-RED.jpg
4400D/BLUE	Azul	4M	DURAN	4400D-BLUE.jpg
4400D/PNK	Rosa	4M	DURAN	4400D-PNK.jpg
661.11/WHT-M	Blanco	M	ADIDAS	661-11-WHT.jpg
661.11/WHT-XS	Blanco	XS	ADIDAS	661-11-WHT.jpg
661.22-20/BLU-L	BLU	L	ADIDAS	661-22-2-0 BLU.jpg
661.22-20/BLU-M	BLU	M	ADIDAS	661-22-2-0 BLU.jpg
661.22-20/BLU-S	BLU	S	ADIDAS	661-22-2-0 BLU.jpg
661.22-20/BLU-XL	BLU	XL	ADIDAS	661-22-2-0 BLU.jpg
661.22-20/BLU-XS	BLU	XS	ADIDAS	661-22-2-0 BLU.jpg
661.22-20/BLU-XXS	BLU	XXS	ADIDAS	661-22-2-0 BLU.jpg
661.22-20/RED-L	RED	L	ADIDAS	661-22-2-0 RED.jpg
661.22-20/RED-M	RED	M	ADIDAS	661-22-2-0 RED.jpg
661.22-20/RED-S	RED	S	ADIDAS	661-22-2-0 RED.jpg
661.22-20/RED-XL	RED	XL	ADIDAS	661-22-2-0 RED.jpg
661.22-20/RED-XS	RED	XS	ADIDAS	661-22-2-0 RED.jpg
661.22-20/RED-XXS	RED	XXS	ADIDAS	661-22-2-0 RED.jpg
661.22/BLUE-L	BLUE	L	ADIDAS	661-22 BLU.jpg
661.22/BLUE-M	BLUE	M	ADIDAS	661-22 BLU.jpg
661.22/BLUE-S	BLUE	S	ADIDAS	661-22 BLU.jpg
661.22/BLUE-XL	BLUE	XL	ADIDAS	661-22 BLU.jpg
661.22/BLUE-XS	BLUE	XS	ADIDAS	661-22 BLU.jpg
661.22/RED-L	RED	L	ADIDAS	661-22-RED.jpg
661.22/RED-M	RED	M	ADIDAS	661-22-RED.jpg
661.22/RED-S	RED	S	ADIDAS	661-22-RED.jpg
661.22/RED-XL	RED	XL	ADIDAS	661-22-RED.jpg
661.22/RED-XS	RED	XS	ADIDAS	661-22-RED.jpg
661.23-20/BLU-M	BLU	M	ADIDAS	661-23-2-0 BLU.jpg
661.23-20/BLU-S	BLU	S	ADIDAS	661-23-2-0 BLU.jpg
661.23-20/BLU-XL	BLU	XL	ADIDAS	661-23-2-0 BLU.jpg
661.23-20/BLU-XS	BLU	XS	ADIDAS	661-23-2-0 BLU.jpg
661.23-20/RED-M	RED	M	ADIDAS	661-23-2-0 RED.jpg
661.23-20/RED-S	RED	S	ADIDAS	661-23-2-0 RED.jpg
661.23-20/RED-XL	RED	XL	ADIDAS	661-23-2-0 RED.jpg
661.23-20/RED-XS	RED	XS	ADIDAS	661-23-2-0 RED.jpg
661.23/BLUE-L	BLUE	L	ADIDAS	661-23 BLU.jpg
661.23/BLUE-M	BLUE	M	ADIDAS	661-23 BLU.jpg
661.23/BLUE-S	BLUE	S	ADIDAS	661-23 BLU.jpg
661.23/BLUE-XL	BLUE	XL	ADIDAS	661-23 BLU.jpg
661.23/BLUE-XS	BLUE	XS	ADIDAS	661-23 BLU.jpg
661.23/RED-L	RED	L	ADIDAS	661-23 RED.jpg
661.23/RED-M	RED	M	ADIDAS	661-23 RED.jpg
661.23/RED-S	RED	S	ADIDAS	661-23 RED.jpg
661.23/RED-XL	RED	XL	ADIDAS	661-23 RED.jpg
661.35-20/BLU-L	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/BLU-M	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/BLU-S	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/BLU-XL	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/BLU-XS	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/BLU-XXS	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/RED-L	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/RED-M	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/RED-S	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/RED-XL	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/RED-XS	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35-20/RED-XXS	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35/BLU-L	Azul	L	ADIDAS	661-35-BLU.jpg
661.35/BLU-M	Azul	M	ADIDAS	661-35-BLU.jpg
661.35/BLU-S	Azul	S	ADIDAS	661-35-BLU.jpg
661.35/BLU-XL	Azul	XL	ADIDAS	661-35-BLU.jpg
661.35/BLU-XS	Azul	XS	ADIDAS	661-35-BLU.jpg
661.35/BLU-XXS	Azul	XS	ADIDAS	661-35-BLU.jpg
661.35/RED-L	Rojo	L	ADIDAS	661-35-RED.jpg
661.35/RED-M	Rojo	M	ADIDAS	661-35-RED.jpg
661.35/RED-S	Rojo	S	ADIDAS	661-35-RED.jpg
661.35/RED-XL	Rojo	XL	ADIDAS	661-35-RED.jpg
661.35/RED-XS	Rojo	XS	ADIDAS	661-35-RED.jpg
661.35/RED-XXS	Rojo	XS	ADIDAS	661-35-RED.jpg
661.36/BLK-L	Blanco	S	ADIDAS	661-36-BLK.jpg
661.36/BLK-M	Blanco	S	ADIDAS	661-36-BLK.jpg
661.36/BLK-S	Blanco	S	ADIDAS	661-36-BLK.jpg
661.36/BLK-XL	Blanco	S	ADIDAS	661-36-BLK.jpg
661.36/BLK-XS	Blanco	S	ADIDAS	661-36-BLK.jpg
661.36/WHT-L	Blanco	L	ADIDAS	661-36-WHT.jpg
661.36/WHT-M	Blanco	M	ADIDAS	661-36-WHT.jpg
661.36/WHT-S	Blanco	S	ADIDAS	661-36-WHT.jpg
661.36/WHT-XL	Blanco	XL	ADIDAS	661-36-WHT.jpg
661.36/WHT-XS	Blanco	XS	ADIDAS	661-36-WHT.jpg
661.36/WHT-XXS	Blanco	XXS	ADIDAS	661-36-WHT.jpg
666.14/L	Blanco	L	ADIDAS	666-14.jpg
666.14/M	Blanco	M	ADIDAS	666-14.jpg
666.14/S	Blanco	S	ADIDAS	666-14.jpg
666.14/XL	Blanco	XL	ADIDAS	666-14.jpg
666.14/XS	Blanco	XS	ADIDAS	666-14.jpg
8918-B			WESTON	8918-B.jpg
ADIACC052B-BLK/GLD-M	Dorado, Negro	M	ADIDAS	ADIACC052B-BLK-GLD-S.jpg
ADIACC090B-BLK/BR-L	Negro	L/XL	ADIDAS	ADIACC090B-BLK_BR-S.jpg
ADIACC090B-BLK/BR-M	Negro	M	ADIDAS	ADIACC090B-BLK_BR-S.jpg
ADIACC090B-BLK/BR-S	Negro	S	ADIDAS	ADIACC090B-BLK_BR-S.jpg
ADIACC090B-BLK/WHT-S	Negro, Blanco	S	ADIDAS	ADIACC090B-BLK-WHT-S.jpg
ADIACC090B-NV/RED-L	RED	L	ADIDAS	ADIACC090B-NV-RED-S.jpg
ADIACC090B-NV/RED-M	Azul, Rojo	M	ADIDAS	ADIACC090B-NV-RED-S.jpg
ADIAS50HG-L	Negro, Amarillo, Camuflaje	L	ADIDAS	ADIAS50HG.jpg
ADIAS50HG-M	Negro, Amarillo, Camuflaje	M	ADIDAS	ADIAS50HG.jpg
ADIAS50HG-XL	Negro, Amarillo, Camuflaje	XL	ADIDAS	ADIAS50HG.jpg
ADIAS50SGG-L	Negro, Amarillo, Camuflaje	L	ADIDAS	ADIAS50SGG.jpg
