sku,motivo
"1854D/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3007RED(14OZ)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3016D BLUE(10OZ)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3016D RED(10OZ)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3022D-BLACK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3036","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3045 RED/BLACK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3064LEATHER","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3066PU","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3122PU BLACK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3122PU BLUE","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3122PU RED","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3125/BLUE","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3125/RED","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3127BLK(L)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3145 RED(6OZ)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3173 CANVAS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3173D CANVAS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3173D PVC","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3173PVC","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3174 CANVAS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3174D CANVAS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3174D PVC","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3174PVC","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3185 CANVAS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3185D CANVAS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3222(5)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3382 BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3382 NEON/YEL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3382 PINK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3382D BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3382D PINK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383 NEON/GREEN","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383 NEON/ORG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383 NEON/YEL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383D","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383D NEON/ORG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3383D NEON/YEL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3385 NEON/GREEN","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3385 NEON/ORG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3385 NEON/YEL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"3385/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"4400/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"4400/RED","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"4400D/BLUE","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"4400D/PNK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
